a,triangle1 PURPLE,triangle2 CYAN,triangle1 PURPLE,,,,,
b,triangle1 CYAN,triangle2 PINK,triangle1 CYAN,,,,,
c,triangle1 PINK,triangle2 CYAN,triangle1 PINK,,,,,
d,funkyShape PURPLE,circle YELLOW,funkyShape PURPLE,,,,,
e,rectangle MAROON,rectangle PINK,rectangle MAROON,,,,,
f,circle CYAN,rectangle PINK,rectangle PINK,,,,,
g,funkyShape PURPLE,funkyShape PINK,funkyShape YELLOW,,,,,
h,pentagon MAROON,rectangle PINK,pentagon MAROON,,,,,
i,triangle1 PURPLE,triangle2 YELLOW,triangle1 PURPLE,,,,,
j,pentagon CYAN,funkyShape YELLOW,pentagon CYAN,,,,,
k,pentagon PURPLE,triangle1 PURPLE,pentagon PURPLE,,,,,
l,funkyShape YELLOW,pentagon PURPLE,funkyShape YELLOW,,,,,
m,rectangle MAROON,pentagon CYAN,rectangle MAROON,,,,,
n,circle CYAN,funkyShape MAROON,circle CYAN,,,,,
o,pentagon YELLOW,circle PURPLE,pentagon YELLOW,,,,,
p,pentagon PURPLE,pentagon CYAN,pentagon YELLOW,,,,,
q,funkyShape CYAN,funkyShape PURPLE,funkyShape CYAN,,,,,
r,rectangle YELLOW,rectangle MAROON,rectangle YELLOW,,,,,
s,rectangle CYAN,triangle1 PINK,triangle1 PINK,,,,,
t,funkyShape MAROON,rectangle CYAN,rectangle CYAN,,,,,
u,triangle1 PINK,triangle1 PINK,rectangle CYAN,,,,,
v,rectangle YELLOW,rectangle MAROON,rectangle MAROON,,,,,
w,triangle1 MAROON,triangle2 MAROON,triangle1 MAROON,,,,,
x,circle PINK,rectangle MAROON,circle PINK,,,,,
y,circle MAROON,circle MAROON,circle MAROON,,,,,
z,circle CYAN,circle YELLOW,circle PINK,,,,,
 ,circle PURPLE,triangle1 CYAN,circle PURPLE,,,,,
.,circle PURPLE,triangle1 MAROON,circle PURPLE,,,,,
?,triangle1 CYAN,circle PURPLE,circle PURPLE,,,,,
!,rectangle MAROON,rectangle MAROON,pentagon PURPLE,,,,,
0,funkyShape CYAN,rectangle PURPLE,rectangle PURPLE,,,,,
1,pentagon CYAN,funkyShape MAROON,pentagon CYAN,,,,,
2,rectangle YELLOW,rectangle PINK,rectangle YELLOW,,,,,
3,rectangle CYAN,rectangle PURPLE,rectangle CYAN,,,,,
4,rectangle CYAN,rectangle YELLOW,rectangle CYAN,,,,,
5,circle CYAN,rectangle MAROON,rectangle MAROON,,,,,
6,rectangle PURPLE,circle PURPLE,circle PURPLE,,,,,
7,rectangle MAROON,circle MAROON,rectangle CYAN,,,,,
8,circle PURPLE,circle PURPLE,circle CYAN,,,,,
9,,,,,,,,
