a,circle PURPLE,circle GREEN,circle PURPLE,,,,,
b,rectangle MAROON,rectangle MAROON,pentagon PURPLE,,,,,
c,triangle1 BLUE,triangle2 PINK,triangle1 BLUE,,,,,
d,triangle1 PINK,triangle2 BLUE,triangle1 PINK,,,,,
e,funkyShape PURPLE,circle GREEN,funkyShape PURPLE,,,,,
f,rectangle MAROON,rectangle PINK,rectangle MAROON,,,,,
g,circle BLUE,rectangle PINK,rectangle PINK,,,,,
h,funkyShape PURPLE,funkyShape PINK,funkyShape GREEN,,,,,
i,pentagon MAROON,rectangle PINK,pentagon MAROON,,,,,
j,triangle1 PURPLE,triangle2 GREEN,triangle1 PURPLE,,,,,
k,pentagon BLUE,funkyShape GREEN,pentagon BLUE,,,,,
l,pentagon PURPLE,triangle1 PURPLE,pentagon PURPLE,,,,,
m,funkyShape GREEN,pentagon PURPLE,funkyShape GREEN,,,,,
n,rectangle MAROON,pentagon BLUE,rectangle MAROON,,,,,
o,circle BLUE,funkyShape MAROON,circle BLUE,,,,,
p,pentagon GREEN,circle PURPLE,pentagon GREEN,,,,,
q,pentagon PURPLE,pentagon BLUE,pentagon GREEN,,,,,
r,funkyShape BLUE,funkyShape PURPLE,funkyShape BLUE,,,,,
s,rectangle GREEN,rectangle MAROON,rectangle GREEN,,,,,
t,rectangle BLUE,triangle1 PINK,triangle1 PINK,,,,,
u,funkyShape MAROON,rectangle BLUE,rectangle BLUE,,,,,
v,triangle1 PINK,triangle1 PINK,rectangle BLUE,,,,,
w,rectangle GREEN,rectangle MAROON,rectangle MAROON,,,,,
x,triangle1 MAROON,triangle2 MAROON,triangle1 MAROON,,,,,
y,circle PINK,rectangle MAROON,circle PINK,,,,,
z,circle MAROON,circle MAROON,circle MAROON,,,,,
space,circle BLUE,circle GREEN,circle PINK,,,,,
dot,circle PURPLE,triangle1 BLUE,circle PURPLE,,,,,
bang,triangle1 BLUE,circle GREEN,circle PURPLE,,,,,
qmark,circle PURPLE,triangle1 MAROON,circle PURPLE,,,,,
